:nemesis	:info	:start-partition	:one
1	:invoke	:read	nil
:nemesis	:info	:start-partition	[:isolated {"n2" #{"n1" "n0"}, "n1" #{"n2"}, "n0" #{"n2"}}]
1	:ok	:read	0
2	:invoke	:read	nil
2	:ok	:read	0
0	:invoke	:read	nil
0	:ok	:read	0
0	:invoke	:read	nil
0	:ok	:read	0
1	:invoke	:read	nil
1	:ok	:read	0
2	:invoke	:add	2
2	:ok	:add	2
0	:invoke	:read	nil
0	:ok	:read	2
0	:invoke	:add	2
1	:invoke	:read	nil
0	:ok	:add	2
1	:ok	:read	0
2	:invoke	:read	nil
2	:ok	:read	4
0	:invoke	:add	2
0	:ok	:add	2
0	:invoke	:read	nil
0	:ok	:read	6
1	:invoke	:read	nil
1	:ok	:read	6
2	:invoke	:add	2
2	:ok	:add	2
0	:invoke	:read	nil
0	:ok	:read	8
0	:invoke	:add	1
0	:ok	:add	1
1	:invoke	:read	nil
1	:ok	:read	9
2	:invoke	:read	nil
2	:ok	:read	8
0	:invoke	:add	2
0	:ok	:add	2
0	:invoke	:add	3
0	:ok	:add	3
1	:invoke	:read	nil
1	:ok	:read	11
2	:invoke	:add	3
2	:ok	:add	3
0	:invoke	:read	nil
0	:ok	:read	17
0	:invoke	:add	0
0	:ok	:add	0
1	:invoke	:read	nil
1	:ok	:read	17
2	:invoke	:add	3
2	:ok	:add	3
0	:invoke	:add	0
0	:ok	:add	0
0	:invoke	:read	nil
0	:ok	:read	20
1	:invoke	:read	nil
1	:ok	:read	20
2	:invoke	:add	0
2	:ok	:add	0
0	:invoke	:read	nil
0	:ok	:read	20
0	:invoke	:read	nil
0	:ok	:read	20
1	:invoke	:add	4
1	:ok	:add	4
2	:invoke	:read	nil
2	:ok	:read	24
0	:invoke	:add	3
0	:ok	:add	3
0	:invoke	:read	nil
0	:ok	:read	27
1	:invoke	:read	nil
1	:ok	:read	27
2	:invoke	:read	nil
2	:ok	:read	27
0	:invoke	:read	nil
0	:ok	:read	27
0	:invoke	:add	0
0	:ok	:add	0
1	:invoke	:add	3
1	:ok	:add	3
2	:invoke	:read	nil
2	:ok	:read	30
0	:invoke	:read	nil
0	:ok	:read	30
0	:invoke	:read	nil
0	:ok	:read	30
1	:invoke	:read	nil
1	:ok	:read	30
2	:invoke	:read	nil
2	:ok	:read	30
0	:invoke	:read	nil
0	:ok	:read	30
0	:invoke	:add	4
0	:ok	:add	4
1	:invoke	:add	3
1	:ok	:add	3
2	:invoke	:read	nil
2	:ok	:read	30
0	:invoke	:read	nil
1	:invoke	:read	nil
0	:ok	:read	37
1	:ok	:read	37
1	:invoke	:add	3
1	:ok	:add	3
2	:invoke	:read	nil
2	:ok	:read	37
0	:invoke	:read	nil
0	:ok	:read	40
0	:invoke	:read	nil
0	:ok	:read	40
1	:invoke	:read	nil
1	:ok	:read	40
2	:invoke	:read	nil
2	:ok	:read	40
0	:invoke	:read	nil
0	:ok	:read	40
0	:invoke	:add	3
0	:ok	:add	3
1	:invoke	:add	0
2	:invoke	:read	nil
1	:ok	:add	0
2	:ok	:read	40
0	:invoke	:read	nil
0	:ok	:read	43
0	:invoke	:read	nil
0	:ok	:read	43
1	:invoke	:read	nil
1	:ok	:read	43
2	:invoke	:read	nil
2	:ok	:read	43
0	:invoke	:read	nil
0	:ok	:read	43
0	:invoke	:read	nil
0	:ok	:read	43
1	:invoke	:read	nil
1	:ok	:read	43
2	:invoke	:add	3
2	:ok	:add	3
0	:invoke	:add	3
0	:ok	:add	3
0	:invoke	:read	nil
0	:ok	:read	49
1	:invoke	:read	nil
1	:ok	:read	46
2	:invoke	:read	nil
2	:ok	:read	49
0	:invoke	:add	2
0	:ok	:add	2
0	:invoke	:add	4
0	:ok	:add	4
1	:invoke	:read	nil
1	:ok	:read	55
2	:invoke	:read	nil
2	:ok	:read	51
0	:invoke	:read	nil
0	:ok	:read	55
0	:invoke	:add	3
0	:ok	:add	3
1	:invoke	:read	nil
1	:ok	:read	58
2	:invoke	:add	3
2	:ok	:add	3
0	:invoke	:read	nil
0	:ok	:read	58
0	:invoke	:read	nil
0	:ok	:read	61
1	:invoke	:read	nil
2	:invoke	:read	nil
1	:ok	:read	58
2	:ok	:read	61
0	:invoke	:read	nil
1	:invoke	:read	nil
0	:ok	:read	61
1	:ok	:read	61
1	:invoke	:read	nil
1	:ok	:read	61
2	:invoke	:read	nil
2	:ok	:read	61
0	:invoke	:add	4
0	:ok	:add	4
0	:invoke	:read	nil
0	:ok	:read	65
1	:invoke	:add	0
1	:ok	:add	0
2	:invoke	:add	4
2	:ok	:add	4
0	:invoke	:add	3
1	:invoke	:read	nil
0	:ok	:add	3
1	:ok	:read	69
1	:invoke	:add	1
2	:invoke	:add	4
1	:ok	:add	1
2	:ok	:add	4
0	:invoke	:add	3
0	:ok	:add	3
0	:invoke	:add	4
0	:ok	:add	4
1	:invoke	:read	nil
1	:ok	:read	80
2	:invoke	:add	3
2	:ok	:add	3
0	:invoke	:read	nil
0	:ok	:read	87
0	:invoke	:read	nil
0	:ok	:read	87
1	:invoke	:read	nil
1	:ok	:read	87
2	:invoke	:read	nil
2	:ok	:read	87
0	:invoke	:add	3
0	:ok	:add	3
0	:invoke	:read	nil
0	:ok	:read	90
1	:invoke	:read	nil
1	:ok	:read	87
2	:invoke	:read	nil
2	:ok	:read	87
0	:invoke	:read	nil
0	:ok	:read	90
0	:invoke	:add	0
0	:ok	:add	0
1	:invoke	:read	nil
1	:ok	:read	90
2	:invoke	:add	3
2	:ok	:add	3
0	:invoke	:read	nil
0	:ok	:read	93
0	:invoke	:add	0
0	:ok	:add	0
1	:invoke	:read	nil
1	:ok	:read	93
2	:invoke	:add	0
2	:ok	:add	0
0	:invoke	:read	nil
0	:ok	:read	93
0	:invoke	:read	nil
0	:ok	:read	93
1	:invoke	:read	nil
2	:invoke	:read	nil
1	:ok	:read	93
2	:ok	:read	93
0	:invoke	:read	nil
0	:ok	:read	93
0	:invoke	:read	nil
0	:ok	:read	93
1	:invoke	:read	nil
1	:ok	:read	93
2	:invoke	:read	nil
2	:ok	:read	93
0	:invoke	:read	nil
0	:ok	:read	93
0	:invoke	:read	nil
0	:ok	:read	93
1	:invoke	:read	nil
1	:ok	:read	93
2	:invoke	:add	3
2	:ok	:add	3
0	:invoke	:add	0
0	:ok	:add	0
0	:invoke	:read	nil
0	:ok	:read	96
1	:invoke	:read	nil
2	:invoke	:read	nil
1	:ok	:read	96
2	:ok	:read	96
0	:invoke	:read	nil
0	:ok	:read	96
0	:invoke	:read	nil
0	:ok	:read	96
1	:invoke	:read	nil
1	:ok	:read	96
2	:invoke	:read	nil
2	:ok	:read	96
0	:invoke	:add	4
0	:ok	:add	4
0	:invoke	:read	nil
0	:ok	:read	100
1	:invoke	:add	2
1	:ok	:add	2
2	:invoke	:read	nil
2	:ok	:read	98
0	:invoke	:read	nil
0	:ok	:read	100
0	:invoke	:read	nil
1	:invoke	:read	nil
0	:ok	:read	102
1	:ok	:read	102
2	:invoke	:read	nil
2	:ok	:read	102
0	:invoke	:add	0
0	:ok	:add	0
0	:invoke	:read	nil
0	:ok	:read	102
1	:invoke	:add	1
1	:ok	:add	1
2	:invoke	:read	nil
2	:ok	:read	103
0	:invoke	:read	nil
0	:ok	:read	103
0	:invoke	:read	nil
0	:ok	:read	103
1	:invoke	:read	nil
1	:ok	:read	103
2	:invoke	:read	nil
2	:ok	:read	103
0	:invoke	:read	nil
0	:ok	:read	103
0	:invoke	:read	nil
0	:ok	:read	103
1	:invoke	:read	nil
1	:ok	:read	103
2	:invoke	:add	0
2	:ok	:add	0
0	:invoke	:read	nil
0	:ok	:read	103
0	:invoke	:add	2
0	:ok	:add	2
1	:invoke	:add	4
1	:ok	:add	4
2	:invoke	:read	nil
2	:ok	:read	107
0	:invoke	:read	nil
0	:ok	:read	105
0	:invoke	:read	nil
0	:ok	:read	109
1	:invoke	:read	nil
1	:ok	:read	109
2	:invoke	:add	0
2	:ok	:add	0
0	:invoke	:read	nil
0	:ok	:read	109
0	:invoke	:read	nil
0	:ok	:read	109
1	:invoke	:read	nil
1	:ok	:read	109
2	:invoke	:read	nil
2	:ok	:read	109
0	:invoke	:read	nil
0	:ok	:read	109
0	:invoke	:read	nil
0	:ok	:read	109
1	:invoke	:read	nil
1	:ok	:read	109
2	:invoke	:add	0
2	:ok	:add	0
0	:invoke	:read	nil
1	:invoke	:read	nil
0	:ok	:read	109
1	:ok	:read	109
1	:invoke	:read	nil
1	:ok	:read	109
2	:invoke	:add	0
2	:ok	:add	0
0	:invoke	:read	nil
0	:ok	:read	109
0	:invoke	:read	nil
0	:ok	:read	109
1	:invoke	:add	0
1	:ok	:add	0
2	:invoke	:read	nil
0	:invoke	:read	nil
2	:ok	:read	109
0	:ok	:read	109
0	:invoke	:read	nil
0	:ok	:read	109
1	:invoke	:read	nil
1	:ok	:read	109
2	:invoke	:add	4
2	:ok	:add	4
0	:invoke	:add	3
0	:ok	:add	3
0	:invoke	:add	2
0	:ok	:add	2
1	:invoke	:read	nil
1	:ok	:read	118
2	:invoke	:add	2
2	:ok	:add	2
0	:invoke	:read	nil
0	:ok	:read	120
0	:invoke	:read	nil
0	:ok	:read	120
1	:invoke	:read	nil
1	:ok	:read	120
2	:invoke	:add	0
2	:ok	:add	0
0	:invoke	:add	0
0	:ok	:add	0
0	:invoke	:add	3
0	:ok	:add	3
1	:invoke	:add	2
1	:ok	:add	2
2	:invoke	:add	2
2	:ok	:add	2
0	:invoke	:read	nil
0	:ok	:read	127
0	:invoke	:add	0
0	:ok	:add	0
1	:invoke	:add	3
1	:ok	:add	3
2	:invoke	:add	3
2	:ok	:add	3
0	:invoke	:read	nil
0	:ok	:read	133
0	:invoke	:add	2
0	:ok	:add	2
1	:invoke	:add	3
1	:ok	:add	3
2	:invoke	:read	nil
0	:invoke	:read	nil
2	:ok	:read	138
0	:ok	:read	138
0	:invoke	:read	nil
1	:invoke	:read	nil
0	:ok	:read	138
1	:ok	:read	138
2	:invoke	:read	nil
2	:ok	:read	138
0	:invoke	:add	2
0	:ok	:add	2
0	:invoke	:read	nil
1	:invoke	:add	3
0	:ok	:read	140
1	:ok	:add	3
2	:invoke	:read	nil
2	:ok	:read	143
0	:invoke	:read	nil
0	:ok	:read	140
0	:invoke	:add	2
0	:ok	:add	2
1	:invoke	:add	2
1	:ok	:add	2
2	:invoke	:read	nil
2	:ok	:read	145
0	:invoke	:add	2
1	:invoke	:add	4
0	:ok	:add	2
1	:ok	:add	4
1	:invoke	:add	4
1	:ok	:add	4
2	:invoke	:read	nil
2	:ok	:read	157
0	:invoke	:read	nil
0	:ok	:read	157
0	:invoke	:add	2
0	:ok	:add	2
1	:invoke	:add	2
1	:ok	:add	2
2	:invoke	:read	nil
2	:ok	:read	157
0	:invoke	:read	nil
0	:ok	:read	161
0	:invoke	:read	nil
0	:ok	:read	161
1	:invoke	:read	nil
2	:invoke	:read	nil
1	:ok	:read	161
2	:ok	:read	159
0	:invoke	:read	nil
0	:ok	:read	161
0	:invoke	:read	nil
0	:ok	:read	161
1	:invoke	:read	nil
2	:invoke	:read	nil
1	:ok	:read	161
2	:ok	:read	161
0	:invoke	:add	2
0	:ok	:add	2
0	:invoke	:read	nil
0	:ok	:read	163
1	:invoke	:read	nil
1	:ok	:read	161
2	:invoke	:add	1
2	:ok	:add	1
0	:invoke	:add	1
0	:ok	:add	1
0	:invoke	:read	nil
0	:ok	:read	165
1	:invoke	:read	nil
1	:ok	:read	164
2	:invoke	:add	3
0	:invoke	:read	nil
2	:ok	:add	3
0	:ok	:read	165
0	:invoke	:read	nil
0	:ok	:read	168
1	:invoke	:read	nil
1	:ok	:read	168
2	:invoke	:read	nil
2	:ok	:read	168
0	:invoke	:add	0
0	:ok	:add	0
0	:invoke	:add	4
0	:ok	:add	4
1	:invoke	:add	0
1	:ok	:add	0
