:nemesis	:info	:start-partition	:minority-third
1	:invoke	:generate	nil
:nemesis	:info	:start-partition	[:isolated {"n2" #{}, "n1" #{}, "n0" #{}}]
1	:ok	:generate	4485466157532036000
2	:invoke	:generate	nil
2	:ok	:generate	288884578578283140
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	8637247133967251000
0	:ok	:generate	3924196817748054500
2	:ok	:generate	1284798326724893200
2	:invoke	:generate	nil
2	:ok	:generate	3389053477736923600
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	2613818090359449600
1	:ok	:generate	5581991044998762000
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	3166014700746908700
2	:ok	:generate	8640924905337719000
0	:invoke	:generate	nil
0	:ok	:generate	1331932055821032700
0	:invoke	:generate	nil
0	:ok	:generate	6543724613961684000
1	:invoke	:generate	nil
1	:ok	:generate	2357018171886442500
2	:invoke	:generate	nil
2	:ok	:generate	1961911775667828000
0	:invoke	:generate	nil
0	:ok	:generate	871359950077531600
0	:invoke	:generate	nil
0	:ok	:generate	886755667412552400
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	2013085611993701600
2	:ok	:generate	8378679367650754000
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	4361649498664161300
1	:ok	:generate	3203878536647972400
1	:invoke	:generate	nil
1	:ok	:generate	4595808749524919000
2	:invoke	:generate	nil
2	:ok	:generate	6687605420585032000
0	:invoke	:generate	nil
0	:ok	:generate	2076894259824827000
0	:invoke	:generate	nil
0	:ok	:generate	3891205513571111400
1	:invoke	:generate	nil
1	:ok	:generate	7053409437255330000
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	4374380375635550000
0	:ok	:generate	8882019841452300000
0	:invoke	:generate	nil
0	:ok	:generate	4038584089026626600
1	:invoke	:generate	nil
1	:ok	:generate	1795558511996060400
2	:invoke	:generate	nil
2	:ok	:generate	6900522736690366000
0	:invoke	:generate	nil
0	:ok	:generate	2176822832381354200
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	5020153519910085000
1	:ok	:generate	4749223726609062000
2	:invoke	:generate	nil
2	:ok	:generate	7035308710888588000
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	4760603401695815000
2	:invoke	:generate	nil
1	:ok	:generate	1220437639178125000
2	:ok	:generate	2726239766781367300
2	:invoke	:generate	nil
2	:ok	:generate	4537819599440359400
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	1999972815580937700
1	:ok	:generate	2203291595785998600
1	:invoke	:generate	nil
1	:ok	:generate	4158618249289386500
2	:invoke	:generate	nil
2	:ok	:generate	3710393127411633000
0	:invoke	:generate	nil
0	:ok	:generate	1579145996150811600
0	:invoke	:generate	nil
0	:ok	:generate	2902929581343134700
1	:invoke	:generate	nil
1	:ok	:generate	3486941675286610400
2	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	8880338250491682000
2	:ok	:generate	3907187711052689400
1	:ok	:generate	4604686627328024000
1	:invoke	:generate	nil
1	:ok	:generate	1081272345849016800
2	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	7417324955153700000
2	:ok	:generate	9211848479152472000
1	:ok	:generate	6412702799145628000
1	:invoke	:generate	nil
1	:ok	:generate	1878106967425661700
2	:invoke	:generate	nil
2	:ok	:generate	2741247318444553700
